,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
0,Beograd Opština Stari grad Centar Simina ,27,1.5,I,4,92000,3407,Premium,10.02.2021.,Agencija
1,Beograd Opština Vračar Cvetni trg Resavska ,113,4.5,V,6,290000,2566,Premium,07.02.2021.,Agencija
2,Beograd Opština Čukarica Čukarička padina Stevana Đurđevića Trošarinca ,28,1.0,III,7,54900,1961,Premium,10.02.2021.,Agencija
3,Beograd Opština Palilula Karaburma Kamčatska ,31,0.5,I,5,47000,1516,Premium,10.02.2021.,Agencija
4,Beograd Opština Vračar Crveni krst Starca Vujadina ,51,2.5,III,4,102900,2018,Premium,10.02.2021.,Agencija
5,Beograd Opština Stari grad Trg Republike despota stefana ,130,4.0,I,6,297000,2285,Premium,04.02.2021.,Agencija
6,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.0,X,10,280000,2333,Premium,10.02.2021.,Agencija
7,Beograd Opština Voždovac Autokomanda Jove Ilića ,90,4.0,IV,5,240000,2667,Premium,10.02.2021.,Agencija
8,Beograd Opština Vračar Crveni krst Kajmakčalanska ,170,4.0,VI,6,500000,2941,Premium,10.02.2021.,Agencija
9,Beograd Opština Voždovac Dušanovac Danielova ,52,2.5,I,3,92000,1769,Premium,10.02.2021.,Vlasnik
10,Beograd Opština Palilula Cvijićeva Cvijićeva ,55,3.0,I,9,132000,2400,Premium,10.02.2021.,Agencija
11,Beograd Opština Palilula Cvijićeva Cvijićeva ,41,1.5,I,9,94300,2300,Premium,10.02.2021.,Agencija
12,Beograd Opština Palilula Cvijićeva Cvijićeva ,57,2.5,I,9,136800,2400,Premium,10.02.2021.,Agencija
13,Beograd Opština Zemun Donji grad Petra Kočića 14 ,8433,4.0,VPR,8,166000,1968,Premium,10.02.2021.,Investitor
14,Beograd Opština Palilula Cvijićeva Cvijićeva ,101,4.0,I,9,252500,2500,Premium,10.02.2021.,Agencija
15,Beograd Opština Vračar Bulevar kralja Aleksandra Bulevar kralja Aleksandra ,62,2.5,II,5,143000,2306,Premium,10.02.2021.,Agencija
16,Beograd Opština Novi Beograd Blok 67 (Belvil) Djordja Stanojevića ,103,4.0,VIII,13,288400,2800,Premium,10.02.2021.,Agencija
17,Beograd Opština Stari grad Centar Simina ,27,1.5,I,4,92000,3407,Premium,09.02.2021.,Agencija
18,Beograd Opština Novi Beograd Arena Antifašističke borbe ,86,3.0,II,6,197800,2300,Premium,10.02.2021.,Agencija
19,Beograd Opština Stari grad Kalemegdan Cara Uroša ,63,2.5,II,5,167000,2651,Premium,10.02.2021.,Agencija
20,Beograd Opština Stari grad Centar Simina ,27,1.5,I,4,92000,3407,Premium,10.02.2021.,Agencija
21,Beograd Opština Vračar Cvetni trg Resavska ,113,4.5,V,6,290000,2566,Premium,07.02.2021.,Agencija
22,Beograd Opština Čukarica Čukarička padina Stevana Đurđevića Trošarinca ,28,1.0,III,7,54900,1961,Premium,10.02.2021.,Agencija
23,Beograd Opština Palilula Karaburma Kamčatska ,31,0.5,I,5,47000,1516,Premium,10.02.2021.,Agencija
24,Beograd Opština Vračar Crveni krst Starca Vujadina ,51,2.5,III,4,102900,2018,Premium,10.02.2021.,Agencija
25,Beograd Opština Stari grad Trg Republike despota stefana ,130,4.0,I,6,297000,2285,Premium,04.02.2021.,Agencija
26,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.0,X,10,280000,2333,Premium,10.02.2021.,Agencija
27,Beograd Opština Voždovac Autokomanda Jove Ilića ,90,4.0,IV,5,240000,2667,Premium,10.02.2021.,Agencija
28,Beograd Opština Vračar Crveni krst Kajmakčalanska ,170,4.0,VI,6,500000,2941,Premium,10.02.2021.,Agencija
29,Beograd Opština Voždovac Dušanovac Danielova ,52,2.5,I,3,92000,1769,Premium,10.02.2021.,Vlasnik
30,Beograd Opština Palilula Cvijićeva Cvijićeva ,55,3.0,I,9,132000,2400,Premium,10.02.2021.,Agencija
31,Beograd Opština Palilula Cvijićeva Cvijićeva ,41,1.5,I,9,94300,2300,Premium,10.02.2021.,Agencija
32,Beograd Opština Palilula Cvijićeva Cvijićeva ,57,2.5,I,9,136800,2400,Premium,10.02.2021.,Agencija
33,Beograd Opština Zemun Donji grad Petra Kočića 14 ,8433,4.0,VPR,8,166000,1968,Premium,10.02.2021.,Investitor
34,Beograd Opština Palilula Cvijićeva Cvijićeva ,101,4.0,I,9,252500,2500,Premium,10.02.2021.,Agencija
35,Beograd Opština Vračar Bulevar kralja Aleksandra Bulevar kralja Aleksandra ,62,2.5,II,5,143000,2306,Premium,10.02.2021.,Agencija
36,Beograd Opština Novi Beograd Blok 67 (Belvil) Djordja Stanojevića ,103,4.0,VIII,13,288400,2800,Premium,10.02.2021.,Agencija
37,Beograd Opština Stari grad Centar Simina ,27,1.5,I,4,92000,3407,Premium,09.02.2021.,Agencija
38,Beograd Opština Novi Beograd Arena Antifašističke borbe ,86,3.0,II,6,197800,2300,Premium,10.02.2021.,Agencija
39,Beograd Opština Stari grad Kalemegdan Cara Uroša ,63,2.5,II,5,167000,2651,Premium,10.02.2021.,Agencija
40,Beograd Opština Novi Beograd Bežanijska kosa 2 Ljubinke Bobić ,89,2.0,V,7,149000,1674,Premium,10.02.2021.,Vlasnik
41,Beograd Opština Novi Beograd Ledine OPLENAČKA 8-10-12-14 ,1,1.5,I,2,1299,1299,Premium,07.02.2021.,Investitor
42,Beograd Opština Stari grad Centar Zmaja od Noćaja ,66,2.0,VI,6,183000,2773,Premium,10.02.2021.,Agencija
43,Beograd Opština Vračar Kalenić pijaca Hadži Ruvimova ,87,4.0,VIII,10,210000,2414,Premium,10.02.2021.,Vlasnik
44,Beograd Opština Stari grad Dorćol  Kralja Petra ,85,4.0,I,7,204000,2400,Premium,10.02.2021.,Agencija
45,Beograd Opština Novi Beograd Hotel Jugoslavija Klare Cetkin ,47,1.5,VPR,5,119900,2551,Premium,10.02.2021.,Vlasnik
46,Beograd Opština Vračar Južni bulevar Gospodara Vucica ,89,3.0,I,5,184000,2067,Premium,10.02.2021.,Agencija
47,Beograd Opština Novi Beograd Blok 67a (A blok) Uroša Martinovića ,56,2.0,II,6,162000,2893,Premium,10.02.2021.,Agencija
48,Beograd Opština Palilula Tašmajdan 27. marta ,90,4.0,VI,17,203000,2256,Premium,10.02.2021.,Agencija
49,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,101,3.5,III,10,230000,2277,Premium,10.02.2021.,Agencija
50,Beograd Opština Vračar Hram svetog Save Svetog Save ,97,3.0,II,3,195000,2010,Premium,09.02.2021.,Agencija
51,Beograd Opština Voždovac Braće Jerković Vojvode Vlahovića br. 55v ,7664,3.0,I,5,99630,1300,Premium,09.02.2021.,Investitor
52,Beograd Opština Grocka Kaluđerica Vojvode Stepe Stepanovića br.52 ,3715,1.5,I,4,40850,1100,Premium,09.02.2021.,Investitor
53,Beograd Opština Zvezdara Đeram pijaca Vojvode Savatija ,100,3.0,VII,8,232000,2320,Premium,09.02.2021.,Agencija
54,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11  ,5593,2.0,I,3,92284,1650,Premium,09.02.2021.,Agencija
55,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,4654,2.0,I,3,79350,1705,Premium,09.02.2021.,Agencija
56,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,5593,2.0,I,3,92284,1650,Premium,09.02.2021.,Agencija
57,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,6099,2.0,I,3,100633,1650,Premium,09.02.2021.,Agencija
58,Beograd Opština Zvezdara Vukov Spomenik Čelopečka ,70,3.0,I,4,135000,1929,Premium,09.02.2021.,Agencija
59,Beograd Opština Novi Beograd Blok 28 ,62,2.0,,,112500,1815,Premium,03.02.2021.,Agencija
